year,population,energy_use,emissions,renewable_pct,mean_temp,gdp
0,0,33,0,10,9,10
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,33,0,33,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,28,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,28,0,10,9,0
0,0,0,0,10,9,0
0,0,28,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,24,33,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,33,0,10,9,0
0,0,5,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,33,33,33,0
0,0,0,33,33,33,0
0,0,0,0,10,9,0
0,0,0,0,10,33,0
0,0,0,0,0,9,0
0,0,0,0,10,9,2
0,0,0,0,0,9,0
0,0,0,0,0,33,0
0,0,0,0,0,9,0
0,0,28,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,33,33,33,0
0,0,0,0,10,9,0
0,0,0,0,10,9,0
0,0,2,4,10,9,13
0,0,0,0,0,9,3
0,0,0,0,10,9,0
0,0,28,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,28,33,33,33,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,28,0,10,9,0
0,0,0,0,10,9,0
0,0,33,0,10,9,0
0,0,28,0,10,33,0
0,0,28,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,33,33,33,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,28,0,10,9,0
0,0,0,33,33,33,33
0,0,0,33,33,33,0
0,0,18,33,10,33,18
0,0,0,0,0,9,0
0,0,0,33,33,33,0
0,0,0,0,0,9,5
0,0,0,0,10,9,0
0,0,29,0,10,9,0
0,0,33,0,10,9,0
0,0,0,0,10,9,0
0,0,33,0,33,9,0
0,0,0,0,0,9,5
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,33,0,10,9,0
0,0,0,0,0,9,0
0,0,33,0,10,9,0
0,0,0,0,0,9,0
0,0,33,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,33,33,33,9,0
0,0,0,0,10,9,0
0,0,15,0,15,9,7
0,0,0,0,0,9,0
0,0,0,0,10,9,1
0,0,0,0,10,33,0
0,0,0,1,10,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,0,33,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,32,0,33,9,0
0,0,0,0,10,9,0
0,0,33,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,33,33,33,0
0,0,0,0,10,9,0
0,0,28,0,10,9,0
0,0,33,33,33,9,7
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,5
0,0,33,0,10,9,0
0,0,0,0,0,9,0
0,0,0,33,33,33,0
0,0,0,0,0,9,0
0,0,28,0,10,9,0
0,0,33,33,33,33,0
0,0,0,0,0,9,0
0,0,22,0,22,33,25
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,10,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,33,33,33,0
0,0,0,0,10,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,28,0,10,9,0
0,0,0,0,10,9,0
0,0,0,33,33,33,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,0,9,0
0,0,0,0,10,9,0
0,0,0,0,0,9,0
0,0,0,33,33,33,8
0,0,0,33,33,33,0
0,0,0,33,33,33,4
0,0,0,0,10,9,0
0,0,0,0,10,9,0
